neighborhood,price_bin,review_bin,count
Pacific Heights,$201-$300,up to 100,11
Pacific Heights,$301-$400,single review,3
Pacific Heights,$301-$400,up to 10,7
Pacific Heights,$301-$400,up to 100,11
Pacific Heights,$401-$500,single review,2
Pacific Heights,$401-$500,up to 10,3
Pacific Heights,$401-$500,up to 100,1
Potrero Hill,>$500,single review,1
Potrero Hill,>$500,up to 10,4
Potrero Hill,>$500,up to 100,2
Potrero Hill,$100 and less,over 100,4
Potrero Hill,$100 and less,single review,3
Potrero Hill,$100 and less,up to 10,11
Potrero Hill,$100 and less,up to 100,5
Potrero Hill,$101-$200,over 100,14
Potrero Hill,$101-$200,single review,6
Potrero Hill,$101-$200,up to 10,29
Potrero Hill,$101-$200,up to 100,46
Potrero Hill,$201-$300,over 100,1
Potrero Hill,$201-$300,single review,8
Potrero Hill,$201-$300,up to 10,12
Potrero Hill,$201-$300,up to 100,19
Potrero Hill,$301-$400,up to 10,3
Potrero Hill,$301-$400,up to 100,4
Potrero Hill,$401-$500,single review,4
Potrero Hill,$401-$500,up to 10,5
Potrero Hill,$401-$500,up to 100,1
Richmond District,>$500,single review,1
Richmond District,>$500,up to 100,2
Richmond District,$100 and less,over 100,8
Richmond District,$100 and less,single review,10
Richmond District,$100 and less,up to 10,34
Richmond District,$100 and less,up to 100,51
Richmond District,$101-$200,over 100,11
Richmond District,$101-$200,single review,11
Richmond District,$101-$200,up to 10,39
Richmond District,$101-$200,up to 100,80
Richmond District,$201-$300,single review,5
Richmond District,$201-$300,up to 10,17
Richmond District,$201-$300,up to 100,10
Richmond District,$301-$400,single review,2
Richmond District,$301-$400,up to 10,11
Richmond District,$301-$400,up to 100,8
Richmond District,$401-$500,single review,1
Richmond District,$401-$500,up to 10,3
Richmond District,$401-$500,up to 100,2
SoMa,>$500,single review,3
SoMa,>$500,up to 10,1
SoMa,>$500,up to 100,5
SoMa,$100 and less,over 100,4
SoMa,$100 and less,single review,24
SoMa,$100 and less,up to 10,59
SoMa,$100 and less,up to 100,47
SoMa,$101-$200,over 100,5
SoMa,$101-$200,single review,21
SoMa,$101-$200,up to 10,62
SoMa,$101-$200,up to 100,57
SoMa,$201-$300,over 100,1
SoMa,$201-$300,single review,10
SoMa,$201-$300,up to 10,31
SoMa,$201-$300,up to 100,18
SoMa,$301-$400,over 100,1
SoMa,$301-$400,single review,4
SoMa,$301-$400,up to 10,13
SoMa,$301-$400,up to 100,15
SoMa,$401-$500,single review,3
SoMa,$401-$500,up to 10,9
SoMa,$401-$500,up to 100,3
The Castro,>$500,single review,2
The Castro,>$500,up to 10,4
The Castro,>$500,up to 100,6
The Castro,$100 and less,over 100,6
The Castro,$100 and less,single review,4
The Castro,$100 and less,up to 10,12
The Castro,$100 and less,up to 100,17
The Castro,$101-$200,over 100,22
The Castro,$101-$200,single review,12
The Castro,$101-$200,up to 10,46
The Castro,$101-$200,up to 100,55
The Castro,$201-$300,over 100,2
The Castro,$201-$300,single review,10
The Castro,$201-$300,up to 10,14
The Castro,$201-$300,up to 100,23
The Castro,$301-$400,over 100,1
The Castro,$301-$400,single review,2
The Castro,$301-$400,up to 10,7
The Castro,$301-$400,up to 100,10
The Castro,$401-$500,single review,1
The Castro,$401-$500,up to 10,3
The Castro,$401-$500,up to 100,5
