neighborhood,room_type,current_year_count,count_bin,price,price_range
Nob Hill,Entire home/apt,110,101-150,169,$100-$199
SoMa,Private room,26,Less than 50,125,$100-$199
Richmond District,Entire home/apt,21,Less than 50,148,$100-$199
Mission District,Entire home/apt,27,Less than 50,325,$300-$399
SoMa,Entire home/apt,12,Less than 50,163,$100-$199
Potrero Hill,Entire home/apt,117,101-150,170,$100-$199
Mission District,Private room,37,Less than 50,79,Less than $100
Mission District,Private room,26,Less than 50,83,Less than $100
Haight-Ashbury,Entire home/apt,59,51-100,275,$200-$299
Pacific Heights,Entire home/apt,13,Less than 50,230,$200-$299
Pacific Heights,Entire home/apt,39,Less than 50,395,$300-$399
The Castro,Entire home/apt,4,Less than 50,295,$200-$299
Western Addition/NOPA,Private room,2,Less than 50,220,$200-$299
Western Addition/NOPA,Entire home/apt,36,Less than 50,200,$200-$299
Bernal Heights,Entire home/apt,2,Less than 50,140,$100-$199
SoMa,Entire home/apt,6,Less than 50,195,$100-$199
Western Addition/NOPA,Entire home/apt,59,51-100,219,$200-$299
Mission District,Entire home/apt,9,Less than 50,130,$100-$199
Western Addition/NOPA,Private room,38,Less than 50,110,$100-$199
Mission District,Private room,22,Less than 50,70,Less than $100
Nob Hill,Entire home/apt,41,Less than 50,189,$100-$199
Noe Valley,Entire home/apt,56,51-100,235,$200-$299
Pacific Heights,Entire home/apt,72,51-100,300,$300-$399
Downtown,Entire home/apt,14,Less than 50,200,$200-$299
Noe Valley,Entire home/apt,11,Less than 50,500,$500-$999
Potrero Hill,Entire home/apt,6,Less than 50,350,$300-$399
SoMa,Shared room,13,Less than 50,54,Less than $100
Nob Hill,Entire home/apt,2,Less than 50,150,$100-$199
Western Addition/NOPA,Entire home/apt,32,Less than 50,145,$100-$199
The Castro,Entire home/apt,98,51-100,250,$200-$299
Western Addition/NOPA,Entire home/apt,19,Less than 50,215,$200-$299
Downtown,Entire home/apt,119,101-150,125,$100-$199
Western Addition/NOPA,Entire home/apt,130,101-150,175,$100-$199
Inner Sunset,Private room,148,101-150,74,Less than $100
Western Addition/NOPA,Entire home/apt,128,101-150,128,$100-$199
Mission District,Entire home/apt,11,Less than 50,145,$100-$199
Mission District,Entire home/apt,3,Less than 50,650,$500-$999
Pacific Heights,Entire home/apt,39,Less than 50,350,$300-$399
Mission District,Private room,76,51-100,150,$100-$199
Richmond District,Private room,32,Less than 50,85,Less than $100
Pacific Heights,Entire home/apt,63,51-100,225,$200-$299
Inner Sunset,Private room,47,Less than 50,95,Less than $100
Potrero Hill,Entire home/apt,11,Less than 50,300,$300-$399
Western Addition/NOPA,Entire home/apt,4,Less than 50,399,$300-$399
Pacific Heights,Entire home/apt,8,Less than 50,199,$100-$199
Mission District,Entire home/apt,8,Less than 50,150,$100-$199
Richmond District,Private room,1,Less than 50,95,Less than $100
Haight-Ashbury,Entire home/apt,72,51-100,550,$500-$999
Mission District,Entire home/apt,46,Less than 50,169,$100-$199
Haight-Ashbury,Private room,22,Less than 50,150,$100-$199
Mission District,Entire home/apt,2,Less than 50,500,$500-$999
The Castro,Private room,46,Less than 50,89,Less than $100
Bernal Heights,Private room,4,Less than 50,90,Less than $100
Western Addition/NOPA,Entire home/apt,65,51-100,150,$100-$199
Bernal Heights,Private room,23,Less than 50,75,Less than $100
Mission District,Entire home/apt,46,Less than 50,275,$200-$299
Noe Valley,Entire home/apt,1,Less than 50,166,$100-$199
Mission District,Entire home/apt,6,Less than 50,185,$100-$199
Mission District,Entire home/apt,71,51-100,300,$300-$399
Haight-Ashbury,Entire home/apt,5,Less than 50,105,$100-$199
Mission District,Entire home/apt,5,Less than 50,210,$200-$299
Nob Hill,Entire home/apt,32,Less than 50,139,$100-$199
Mission District,Entire home/apt,17,Less than 50,150,$100-$199
Haight-Ashbury,Entire home/apt,37,Less than 50,275,$200-$299
Outer Sunset,Entire home/apt,59,51-100,149,$100-$199
Outer Sunset,Entire home/apt,159,151-200,119,$100-$199
Outer Sunset,Entire home/apt,186,151-200,155,$100-$199
Bernal Heights,Private room,75,51-100,120,$100-$199
Haight-Ashbury,Private room,141,101-150,99,Less than $100
The Castro,Private room,155,151-200,149,$100-$199
Bernal Heights,Entire home/apt,92,51-100,160,$100-$199
Mission District,Private room,246,201-250,199,$100-$199
SoMa,Private room,35,Less than 50,85,Less than $100
SoMa,Private room,5,Less than 50,98,Less than $100
SoMa,Entire home/apt,15,Less than 50,400,$400-$499
Inner Sunset,Private room,148,101-150,100,$100-$199
Mission District,Entire home/apt,17,Less than 50,185,$100-$199
Mission District,Private room,26,Less than 50,103,$100-$199
Mission District,Entire home/apt,18,Less than 50,220,$200-$299
Outer Sunset,Private room,92,51-100,89,Less than $100
Inner Sunset,Entire home/apt,3,Less than 50,130,$100-$199
Noe Valley,Entire home/apt,2,Less than 50,350,$300-$399
Potrero Hill,Entire home/apt,9,Less than 50,125,$100-$199
Richmond District,Entire home/apt,1,Less than 50,260,$200-$299
Mission District,Entire home/apt,3,Less than 50,250,$200-$299
Noe Valley,Entire home/apt,4,Less than 50,250,$200-$299
Western Addition/NOPA,Private room,12,Less than 50,130,$100-$199
Bernal Heights,Entire home/apt,3,Less than 50,325,$300-$399
Mission District,Private room,2,Less than 50,60,Less than $100
Haight-Ashbury,Entire home/apt,26,Less than 50,395,$300-$399
Mission District,Entire home/apt,58,51-100,149,$100-$199
Noe Valley,Entire home/apt,3,Less than 50,150,$100-$199
Western Addition/NOPA,Entire home/apt,92,51-100,110,$100-$199
Mission District,Entire home/apt,9,Less than 50,575,$500-$999
Mission District,Entire home/apt,4,Less than 50,175,$100-$199
Potrero Hill,Entire home/apt,7,Less than 50,229,$200-$299
Potrero Hill,Private room,18,Less than 50,97,Less than $100
Noe Valley,Entire home/apt,5,Less than 50,140,$100-$199
Western Addition/NOPA,Private room,6,Less than 50,125,$100-$199
Mission District,Private room,29,Less than 50,95,Less than $100
Haight-Ashbury,Private room,100,51-100,125,$100-$199
Inner Sunset,Entire home/apt,1,Less than 50,191,$100-$199
Hayes Valley,Private room,53,51-100,100,$100-$199
Haight-Ashbury,Private room,11,Less than 50,120,$100-$199
Marina,Entire home/apt,64,51-100,175,$100-$199
Western Addition/NOPA,Entire home/apt,71,51-100,145,$100-$199
Haight-Ashbury,Entire home/apt,25,Less than 50,175,$100-$199
Hayes Valley,Private room,2,Less than 50,65,Less than $100
Western Addition/NOPA,Entire home/apt,4,Less than 50,140,$100-$199
Richmond District,Entire home/apt,9,Less than 50,150,$100-$199
Western Addition/NOPA,Private room,1,Less than 50,399,$300-$399
SoMa,Entire home/apt,32,Less than 50,150,$100-$199
Marina,Entire home/apt,2,Less than 50,120,$100-$199
Outer Sunset,Private room,10,Less than 50,100,$100-$199
SoMa,Entire home/apt,4,Less than 50,149,$100-$199
Marina,Entire home/apt,105,101-150,105,$100-$199
Nob Hill,Private room,21,Less than 50,170,$100-$199
Outer Sunset,Entire home/apt,27,Less than 50,136,$100-$199
Pacific Heights,Private room,60,51-100,77,Less than $100
Mission District,Entire home/apt,4,Less than 50,290,$200-$299
Richmond District,Private room,114,101-150,119,$100-$199
Richmond District,Entire home/apt,44,Less than 50,155,$100-$199
Richmond District,Private room,2,Less than 50,110,$100-$199
Western Addition/NOPA,Entire home/apt,5,Less than 50,300,$300-$399
Potrero Hill,Entire home/apt,75,51-100,175,$100-$199
Noe Valley,Entire home/apt,2,Less than 50,90,Less than $100
Marina,Private room,153,151-200,135,$100-$199
Western Addition/NOPA,Entire home/apt,1,Less than 50,245,$200-$299
SoMa,Entire home/apt,4,Less than 50,125,$100-$199
Western Addition/NOPA,Entire home/apt,16,Less than 50,325,$300-$399
Nob Hill,Entire home/apt,7,Less than 50,350,$300-$399
Richmond District,Entire home/apt,6,Less than 50,129,$100-$199
Noe Valley,Private room,9,Less than 50,95,Less than $100
Western Addition/NOPA,Entire home/apt,16,Less than 50,175,$100-$199
SoMa,Entire home/apt,70,51-100,199,$100-$199
Haight-Ashbury,Entire home/apt,77,51-100,211,$200-$299
Noe Valley,Entire home/apt,100,51-100,149,$100-$199
Pacific Heights,Entire home/apt,37,Less than 50,375,$300-$399
Bernal Heights,Entire home/apt,23,Less than 50,150,$100-$199
The Castro,Private room,5,Less than 50,132,$100-$199
Noe Valley,Entire home/apt,40,Less than 50,155,$100-$199
Mission District,Entire home/apt,14,Less than 50,450,$400-$499
Pacific Heights,Entire home/apt,5,Less than 50,150,$100-$199
Mission District,Entire home/apt,15,Less than 50,333,$300-$399
Mission District,Entire home/apt,11,Less than 50,449,$400-$499
Mission District,Private room,74,51-100,99,Less than $100
SoMa,Shared room,8,Less than 50,65,Less than $100
Noe Valley,Private room,34,Less than 50,99,Less than $100
Mission District,Entire home/apt,1,Less than 50,130,$100-$199
Mission District,Private room,123,101-150,99,Less than $100
Western Addition/NOPA,Entire home/apt,16,Less than 50,350,$300-$399
Richmond District,Private room,109,101-150,76,Less than $100
Richmond District,Entire home/apt,11,Less than 50,1000,$1000+
Haight-Ashbury,Private room,75,51-100,85,Less than $100
Outer Sunset,Entire home/apt,12,Less than 50,130,$100-$199
Mission District,Entire home/apt,16,Less than 50,200,$200-$299
Mission District,Private room,57,51-100,95,Less than $100
Inner Sunset,Entire home/apt,26,Less than 50,229,$200-$299
Bernal Heights,Entire home/apt,4,Less than 50,135,$100-$199
The Castro,Private room,4,Less than 50,125,$100-$199
Richmond District,Entire home/apt,16,Less than 50,345,$300-$399
Bernal Heights,Entire home/apt,23,Less than 50,140,$100-$199
Pacific Heights,Entire home/apt,6,Less than 50,400,$400-$499
Mission District,Entire home/apt,2,Less than 50,180,$100-$199
Potrero Hill,Entire home/apt,102,101-150,140,$100-$199
Mission District,Private room,38,Less than 50,86,Less than $100
Downtown,Private room,8,Less than 50,219,$200-$299
Hayes Valley,Private room,51,51-100,125,$100-$199
Mission District,Entire home/apt,6,Less than 50,150,$100-$199
Mission District,Entire home/apt,16,Less than 50,269,$200-$299
Western Addition/NOPA,Entire home/apt,19,Less than 50,120,$100-$199
Mission District,Entire home/apt,13,Less than 50,395,$300-$399
Western Addition/NOPA,Entire home/apt,8,Less than 50,200,$200-$299
Outer Sunset,Private room,29,Less than 50,130,$100-$199
Hayes Valley,Entire home/apt,10,Less than 50,175,$100-$199
Mission District,Private room,3,Less than 50,89,Less than $100
Western Addition/NOPA,Entire home/apt,10,Less than 50,325,$300-$399
Outer Sunset,Entire home/apt,28,Less than 50,275,$200-$299
Mission District,Entire home/apt,89,51-100,210,$200-$299
Potrero Hill,Entire home/apt,1,Less than 50,450,$400-$499
Richmond District,Private room,3,Less than 50,350,$300-$399
Nob Hill,Entire home/apt,24,Less than 50,169,$100-$199
Western Addition/NOPA,Private room,107,101-150,145,$100-$199
Hayes Valley,Private room,33,Less than 50,95,Less than $100
Richmond District,Entire home/apt,89,51-100,189,$100-$199
Richmond District,Private room,12,Less than 50,360,$300-$399
Mission District,Private room,7,Less than 50,200,$200-$299
Richmond District,Private room,84,51-100,75,Less than $100
Nob Hill,Entire home/apt,32,Less than 50,169,$100-$199
The Castro,Private room,18,Less than 50,110,$100-$199
Noe Valley,Entire home/apt,7,Less than 50,250,$200-$299
Potrero Hill,Private room,93,51-100,120,$100-$199
Richmond District,Entire home/apt,6,Less than 50,375,$300-$399
Richmond District,Private room,9,Less than 50,125,$100-$199
Potrero Hill,Entire home/apt,35,Less than 50,280,$200-$299
Bernal Heights,Entire home/apt,66,51-100,150,$100-$199
Haight-Ashbury,Private room,122,101-150,90,Less than $100
Western Addition/NOPA,Entire home/apt,32,Less than 50,170,$100-$199
Mission District,Entire home/apt,21,Less than 50,149,$100-$199
The Castro,Entire home/apt,3,Less than 50,375,$300-$399
Inner Sunset,Private room,75,51-100,119,$100-$199
Western Addition/NOPA,Private room,149,101-150,99,Less than $100
The Castro,Entire home/apt,31,Less than 50,190,$100-$199
Richmond District,Entire home/apt,5,Less than 50,200,$200-$299
The Castro,Entire home/apt,107,101-150,149,$100-$199
Richmond District,Entire home/apt,112,101-150,120,$100-$199
Richmond District,Entire home/apt,3,Less than 50,286,$200-$299
Haight-Ashbury,Entire home/apt,7,Less than 50,319,$300-$399
Haight-Ashbury,Private room,144,101-150,90,Less than $100
Western Addition/NOPA,Entire home/apt,19,Less than 50,200,$200-$299
Potrero Hill,Entire home/apt,6,Less than 50,149,$100-$199
Potrero Hill,Private room,37,Less than 50,189,$100-$199
Outer Sunset,Entire home/apt,99,51-100,195,$100-$199
The Castro,Entire home/apt,4,Less than 50,135,$100-$199
Nob Hill,Private room,3,Less than 50,200,$200-$299
SoMa,Private room,54,51-100,85,Less than $100
Nob Hill,Entire home/apt,2,Less than 50,128,$100-$199
Hayes Valley,Entire home/apt,24,Less than 50,229,$200-$299
Pacific Heights,Private room,76,51-100,114,$100-$199
Nob Hill,Entire home/apt,13,Less than 50,210,$200-$299
Mission District,Private room,53,51-100,158,$100-$199
SoMa,Entire home/apt,27,Less than 50,192,$100-$199
Downtown,Private room,7,Less than 50,197,$100-$199
Mission District,Private room,81,51-100,120,$100-$199
The Castro,Private room,136,101-150,140,$100-$199
Downtown,Private room,2,Less than 50,219,$200-$299
The Castro,Entire home/apt,128,101-150,168,$100-$199
Richmond District,Entire home/apt,1,Less than 50,150,$100-$199
Noe Valley,Private room,10,Less than 50,120,$100-$199
Potrero Hill,Entire home/apt,8,Less than 50,698,$500-$999
Richmond District,Entire home/apt,50,Less than 50,150,$100-$199
Western Addition/NOPA,Private room,26,Less than 50,110,$100-$199
Noe Valley,Entire home/apt,37,Less than 50,249,$200-$299
SoMa,Entire home/apt,52,51-100,295,$200-$299
Mission District,Entire home/apt,32,Less than 50,171,$100-$199
Hayes Valley,Entire home/apt,61,51-100,225,$200-$299
Inner Sunset,Private room,50,Less than 50,65,Less than $100
Marina,Entire home/apt,5,Less than 50,225,$200-$299
SoMa,Private room,28,Less than 50,120,$100-$199
Pacific Heights,Entire home/apt,6,Less than 50,200,$200-$299
Potrero Hill,Private room,132,101-150,95,Less than $100
Mission District,Private room,4,Less than 50,120,$100-$199
Outer Sunset,Private room,1,Less than 50,120,$100-$199
Bernal Heights,Entire home/apt,119,101-150,111,$100-$199
The Castro,Entire home/apt,11,Less than 50,198,$100-$199
Mission District,Private room,15,Less than 50,125,$100-$199
Inner Sunset,Private room,79,51-100,99,Less than $100
Noe Valley,Entire home/apt,67,51-100,650,$500-$999
Bernal Heights,Entire home/apt,11,Less than 50,275,$200-$299
Mission District,Private room,40,Less than 50,120,$100-$199
Haight-Ashbury,Entire home/apt,5,Less than 50,550,$500-$999
Marina,Entire home/apt,46,Less than 50,399,$300-$399
Western Addition/NOPA,Entire home/apt,21,Less than 50,235,$200-$299
Richmond District,Entire home/apt,9,Less than 50,160,$100-$199
Hayes Valley,Entire home/apt,17,Less than 50,200,$200-$299
Haight-Ashbury,Entire home/apt,11,Less than 50,200,$200-$299
The Castro,Entire home/apt,10,Less than 50,250,$200-$299
SoMa,Entire home/apt,81,51-100,328,$300-$399
Inner Sunset,Private room,60,51-100,65,Less than $100
SoMa,Entire home/apt,19,Less than 50,325,$300-$399
Bernal Heights,Entire home/apt,24,Less than 50,129,$100-$199
Mission District,Entire home/apt,9,Less than 50,250,$200-$299
Noe Valley,Entire home/apt,6,Less than 50,149,$100-$199
SoMa,Private room,14,Less than 50,98,Less than $100
Outer Sunset,Private room,7,Less than 50,97,Less than $100
Richmond District,Entire home/apt,15,Less than 50,200,$200-$299
Pacific Heights,Entire home/apt,7,Less than 50,130,$100-$199
Inner Sunset,Private room,22,Less than 50,80,Less than $100
Western Addition/NOPA,Entire home/apt,8,Less than 50,299,$200-$299
Richmond District,Entire home/apt,1,Less than 50,300,$300-$399
Mission District,Entire home/apt,65,51-100,575,$500-$999
Mission District,Entire home/apt,15,Less than 50,165,$100-$199
Richmond District,Entire home/apt,50,Less than 50,239,$200-$299
Richmond District,Entire home/apt,26,Less than 50,180,$100-$199
The Castro,Private room,128,101-150,110,$100-$199
The Castro,Entire home/apt,37,Less than 50,220,$200-$299
Hayes Valley,Entire home/apt,6,Less than 50,245,$200-$299
Richmond District,Entire home/apt,10,Less than 50,215,$200-$299
Marina,Entire home/apt,20,Less than 50,279,$200-$299
Mission District,Private room,22,Less than 50,107,$100-$199
Noe Valley,Entire home/apt,60,51-100,135,$100-$199
Hayes Valley,Entire home/apt,39,Less than 50,170,$100-$199
Mission District,Entire home/apt,17,Less than 50,184,$100-$199
Pacific Heights,Entire home/apt,10,Less than 50,265,$200-$299
Richmond District,Private room,2,Less than 50,89,Less than $100
Marina,Entire home/apt,35,Less than 50,450,$400-$499
Western Addition/NOPA,Entire home/apt,25,Less than 50,129,$100-$199
Downtown,Entire home/apt,61,51-100,449,$400-$499
Haight-Ashbury,Entire home/apt,118,101-150,185,$100-$199
The Castro,Private room,11,Less than 50,110,$100-$199
Haight-Ashbury,Entire home/apt,50,Less than 50,150,$100-$199
The Castro,Entire home/apt,36,Less than 50,425,$400-$499
Western Addition/NOPA,Entire home/apt,28,Less than 50,240,$200-$299
Western Addition/NOPA,Private room,32,Less than 50,110,$100-$199
Outer Sunset,Entire home/apt,45,Less than 50,217,$200-$299
Bernal Heights,Private room,60,51-100,65,Less than $100
Mission District,Entire home/apt,86,51-100,189,$100-$199
Western Addition/NOPA,Private room,161,151-200,99,Less than $100
Hayes Valley,Entire home/apt,2,Less than 50,400,$400-$499
Bernal Heights,Entire home/apt,84,51-100,118,$100-$199
SoMa,Private room,16,Less than 50,150,$100-$199
Potrero Hill,Private room,62,51-100,100,$100-$199
Potrero Hill,Private room,55,51-100,110,$100-$199
Noe Valley,Entire home/apt,72,51-100,249,$200-$299
Mission District,Entire home/apt,101,101-150,200,$200-$299
SoMa,Private room,71,51-100,128,$100-$199
The Castro,Entire home/apt,4,Less than 50,190,$100-$199
Noe Valley,Entire home/apt,2,Less than 50,300,$300-$399
Mission District,Private room,110,101-150,125,$100-$199
Mission District,Entire home/apt,10,Less than 50,200,$200-$299
Potrero Hill,Entire home/apt,24,Less than 50,210,$200-$299
Richmond District,Private room,87,51-100,109,$100-$199
Noe Valley,Entire home/apt,23,Less than 50,245,$200-$299
Mission District,Entire home/apt,33,Less than 50,1399,$1000+
Mission District,Entire home/apt,3,Less than 50,100,$100-$199
SoMa,Shared room,9,Less than 50,65,Less than $100
Mission District,Entire home/apt,2,Less than 50,195,$100-$199
Bernal Heights,Entire home/apt,14,Less than 50,195,$100-$199
Pacific Heights,Shared room,1,Less than 50,250,$200-$299
Mission District,Private room,3,Less than 50,80,Less than $100
Mission District,Private room,16,Less than 50,111,$100-$199
SoMa,Shared room,14,Less than 50,65,Less than $100
Mission District,Private room,8,Less than 50,135,$100-$199
Noe Valley,Entire home/apt,1,Less than 50,199,$100-$199
The Castro,Entire home/apt,142,101-150,175,$100-$199
Western Addition/NOPA,Entire home/apt,78,51-100,550,$500-$999
Bernal Heights,Entire home/apt,11,Less than 50,260,$200-$299
SoMa,Shared room,15,Less than 50,65,Less than $100
Bernal Heights,Entire home/apt,6,Less than 50,200,$200-$299
Haight-Ashbury,Private room,13,Less than 50,125,$100-$199
SoMa,Shared room,6,Less than 50,65,Less than $100
Potrero Hill,Private room,9,Less than 50,94,Less than $100
SoMa,Shared room,13,Less than 50,65,Less than $100
Bernal Heights,Entire home/apt,47,Less than 50,201,$200-$299
Downtown,Entire home/apt,25,Less than 50,179,$100-$199
Mission District,Private room,63,51-100,189,$100-$199
Downtown,Entire home/apt,17,Less than 50,180,$100-$199
Noe Valley,Private room,25,Less than 50,65,Less than $100
Downtown,Entire home/apt,13,Less than 50,180,$100-$199
Bernal Heights,Entire home/apt,6,Less than 50,125,$100-$199
Downtown,Entire home/apt,13,Less than 50,180,$100-$199
Potrero Hill,Entire home/apt,6,Less than 50,235,$200-$299
Outer Sunset,Private room,107,101-150,125,$100-$199
Noe Valley,Private room,102,101-150,84,Less than $100
Outer Sunset,Private room,173,151-200,99,Less than $100
SoMa,Entire home/apt,5,Less than 50,325,$300-$399
Downtown,Entire home/apt,8,Less than 50,180,$100-$199
SoMa,Shared room,8,Less than 50,54,Less than $100
Outer Sunset,Entire home/apt,8,Less than 50,200,$200-$299
Downtown,Entire home/apt,10,Less than 50,180,$100-$199
Richmond District,Entire home/apt,15,Less than 50,320,$300-$399
Noe Valley,Entire home/apt,2,Less than 50,200,$200-$299
Outer Sunset,Private room,72,51-100,90,Less than $100
Haight-Ashbury,Private room,1,Less than 50,325,$300-$399
Bernal Heights,Private room,2,Less than 50,69,Less than $100
Bernal Heights,Private room,8,Less than 50,49,Less than $100
Bernal Heights,Private room,78,51-100,125,$100-$199
SoMa,Shared room,10,Less than 50,65,Less than $100
SoMa,Shared room,9,Less than 50,65,Less than $100
Outer Sunset,Entire home/apt,9,Less than 50,140,$100-$199
Western Addition/NOPA,Private room,24,Less than 50,99,Less than $100
Mission District,Entire home/apt,23,Less than 50,189,$100-$199
Mission District,Shared room,3,Less than 50,59,Less than $100
Mission District,Entire home/apt,160,151-200,140,$100-$199
Nob Hill,Entire home/apt,81,51-100,250,$200-$299
Mission District,Entire home/apt,9,Less than 50,149,$100-$199
Hayes Valley,Entire home/apt,8,Less than 50,175,$100-$199
Pacific Heights,Private room,1,Less than 50,120,$100-$199
Haight-Ashbury,Entire home/apt,88,51-100,255,$200-$299
The Castro,Private room,18,Less than 50,145,$100-$199
Mission District,Private room,67,51-100,95,Less than $100
Mission District,Private room,62,51-100,125,$100-$199
Mission District,Entire home/apt,47,Less than 50,425,$400-$499
Outer Sunset,Entire home/apt,126,101-150,119,$100-$199
Mission District,Private room,22,Less than 50,140,$100-$199
Mission District,Entire home/apt,2,Less than 50,500,$500-$999
Mission District,Private room,66,51-100,150,$100-$199
Outer Sunset,Private room,136,101-150,80,Less than $100
The Castro,Entire home/apt,51,51-100,150,$100-$199
Hayes Valley,Entire home/apt,14,Less than 50,125,$100-$199
Bernal Heights,Entire home/apt,10,Less than 50,148,$100-$199
Mission District,Entire home/apt,14,Less than 50,171,$100-$199
Mission District,Private room,20,Less than 50,100,$100-$199
Outer Sunset,Entire home/apt,55,51-100,300,$300-$399
SoMa,Shared room,4,Less than 50,65,Less than $100
SoMa,Shared room,9,Less than 50,65,Less than $100
Noe Valley,Entire home/apt,30,Less than 50,250,$200-$299
Mission District,Entire home/apt,7,Less than 50,149,$100-$199
Outer Sunset,Entire home/apt,54,51-100,125,$100-$199
Western Addition/NOPA,Entire home/apt,4,Less than 50,225,$200-$299
Western Addition/NOPA,Entire home/apt,5,Less than 50,250,$200-$299
Outer Sunset,Entire home/apt,95,51-100,79,Less than $100
Marina,Entire home/apt,11,Less than 50,145,$100-$199
Western Addition/NOPA,Entire home/apt,16,Less than 50,375,$300-$399
Haight-Ashbury,Entire home/apt,11,Less than 50,200,$200-$299
Western Addition/NOPA,Private room,72,51-100,145,$100-$199
Bernal Heights,Private room,56,51-100,120,$100-$199
The Castro,Private room,93,51-100,149,$100-$199
Western Addition/NOPA,Entire home/apt,65,51-100,250,$200-$299
Mission District,Entire home/apt,6,Less than 50,250,$200-$299
Western Addition/NOPA,Entire home/apt,2,Less than 50,450,$400-$499
Western Addition/NOPA,Private room,1,Less than 50,100,$100-$199
Richmond District,Entire home/apt,10,Less than 50,350,$300-$399
The Castro,Private room,51,51-100,125,$100-$199
Richmond District,Entire home/apt,74,51-100,192,$100-$199
Mission District,Entire home/apt,31,Less than 50,249,$200-$299
Mission District,Private room,49,Less than 50,85,Less than $100
SoMa,Entire home/apt,19,Less than 50,400,$400-$499
Pacific Heights,Entire home/apt,12,Less than 50,150,$100-$199
Western Addition/NOPA,Private room,48,Less than 50,97,Less than $100
SoMa,Entire home/apt,90,51-100,302,$300-$399
Western Addition/NOPA,Private room,5,Less than 50,200,$200-$299
Marina,Entire home/apt,52,51-100,230,$200-$299
Outer Sunset,Private room,27,Less than 50,100,$100-$199
Richmond District,Entire home/apt,6,Less than 50,400,$400-$499
Potrero Hill,Entire home/apt,50,Less than 50,145,$100-$199
SoMa,Private room,19,Less than 50,115,$100-$199
The Castro,Private room,74,51-100,79,Less than $100
Western Addition/NOPA,Entire home/apt,23,Less than 50,350,$300-$399
Haight-Ashbury,Private room,25,Less than 50,165,$100-$199
Noe Valley,Entire home/apt,22,Less than 50,150,$100-$199
Outer Sunset,Entire home/apt,1,Less than 50,250,$200-$299
Mission District,Private room,27,Less than 50,130,$100-$199
SoMa,Shared room,10,Less than 50,70,Less than $100
Inner Sunset,Private room,59,51-100,50,Less than $100
Western Addition/NOPA,Entire home/apt,8,Less than 50,150,$100-$199
SoMa,Private room,66,51-100,139,$100-$199
Potrero Hill,Private room,189,151-200,70,Less than $100
Potrero Hill,Private room,65,51-100,110,$100-$199
Nob Hill,Entire home/apt,5,Less than 50,250,$200-$299
Outer Sunset,Entire home/apt,50,Less than 50,169,$100-$199
Potrero Hill,Entire home/apt,4,Less than 50,140,$100-$199
Bernal Heights,Entire home/apt,4,Less than 50,250,$200-$299
Hayes Valley,Private room,91,51-100,155,$100-$199
Nob Hill,Entire home/apt,5,Less than 50,400,$400-$499
Outer Sunset,Entire home/apt,3,Less than 50,295,$200-$299
Bernal Heights,Entire home/apt,4,Less than 50,100,$100-$199
Mission District,Private room,2,Less than 50,60,Less than $100
Outer Sunset,Entire home/apt,73,51-100,159,$100-$199
Noe Valley,Private room,1,Less than 50,200,$200-$299
Mission District,Private room,29,Less than 50,298,$200-$299
Richmond District,Private room,16,Less than 50,75,Less than $100
The Castro,Private room,74,51-100,79,Less than $100
Inner Sunset,Private room,2,Less than 50,40,Less than $100
Haight-Ashbury,Private room,61,51-100,150,$100-$199
The Castro,Private room,8,Less than 50,120,$100-$199
The Castro,Entire home/apt,3,Less than 50,350,$300-$399
Nob Hill,Private room,22,Less than 50,100,$100-$199
Inner Sunset,Entire home/apt,8,Less than 50,450,$400-$499
Western Addition/NOPA,Entire home/apt,38,Less than 50,350,$300-$399
Potrero Hill,Entire home/apt,82,51-100,229,$200-$299
Bernal Heights,Entire home/apt,17,Less than 50,250,$200-$299
Mission District,Private room,57,51-100,85,Less than $100
Inner Sunset,Entire home/apt,10,Less than 50,300,$300-$399
Downtown,Private room,72,51-100,89,Less than $100
Nob Hill,Entire home/apt,7,Less than 50,219,$200-$299
Potrero Hill,Entire home/apt,8,Less than 50,250,$200-$299
Mission District,Entire home/apt,20,Less than 50,327,$300-$399
Mission District,Entire home/apt,7,Less than 50,199,$100-$199
Outer Sunset,Entire home/apt,2,Less than 50,100,$100-$199
Mission District,Entire home/apt,53,51-100,145,$100-$199
Outer Sunset,Entire home/apt,9,Less than 50,185,$100-$199
Noe Valley,Entire home/apt,2,Less than 50,475,$400-$499
Nob Hill,Entire home/apt,6,Less than 50,150,$100-$199
SoMa,Entire home/apt,2,Less than 50,209,$200-$299
Western Addition/NOPA,Entire home/apt,15,Less than 50,165,$100-$199
Potrero Hill,Private room,81,51-100,133,$100-$199
Mission District,Entire home/apt,3,Less than 50,165,$100-$199
The Castro,Private room,31,Less than 50,100,$100-$199
Outer Sunset,Entire home/apt,8,Less than 50,449,$400-$499
Mission District,Entire home/apt,12,Less than 50,150,$100-$199
Western Addition/NOPA,Entire home/apt,15,Less than 50,219,$200-$299
Noe Valley,Entire home/apt,2,Less than 50,490,$400-$499
Richmond District,Entire home/apt,30,Less than 50,199,$100-$199
SoMa,Private room,3,Less than 50,150,$100-$199
SoMa,Entire home/apt,36,Less than 50,325,$300-$399
Bernal Heights,Entire home/apt,2,Less than 50,187,$100-$199
Richmond District,Entire home/apt,99,51-100,188,$100-$199
Mission District,Entire home/apt,22,Less than 50,175,$100-$199
Bernal Heights,Entire home/apt,84,51-100,149,$100-$199
Potrero Hill,Private room,97,51-100,133,$100-$199
